level,model,corruption,recovery
simple,classic,0.05,0.99
simple,classic,0.1,0.955
simple,classic,0.15,0.92
simple,classic,0.2,0.81
simple,classic,0.25,0.67
simple,mhn,0.05,0.915
simple,mhn,0.1,0.825
simple,mhn,0.15,0.65
simple,mhn,0.2,0.58
simple,mhn,0.25,0.42
medium,classic,0.05,0.985
medium,classic,0.1,0.965
medium,classic,0.15,0.9
medium,classic,0.2,0.805
medium,classic,0.25,0.71
medium,mhn,0.05,0.95
medium,mhn,0.1,0.835
medium,mhn,0.15,0.785
medium,mhn,0.2,0.555
medium,mhn,0.25,0.445
complex,classic,0.05,0.995
complex,classic,0.1,0.99
complex,classic,0.15,0.935
complex,classic,0.2,0.875
complex,classic,0.25,0.755
complex,mhn,0.05,0.975
complex,mhn,0.1,0.94
complex,mhn,0.15,0.8
complex,mhn,0.2,0.705
complex,mhn,0.25,0.525
