level,model,corruption,mean,std
simple,classic,0.05,0.9933333333333334,0.003944053188733084
simple,classic,0.1,0.9700000000000001,0.010000000000000016
simple,classic,0.15,0.9206666666666667,0.014742229591663982
simple,classic,0.2,0.8323333333333334,0.023525399984791848
simple,classic,0.25,0.713,0.029304910472099693
simple,mhn,0.05,0.9233333333333332,0.02260776661041755
simple,mhn,0.1,0.8163333333333334,0.022482091638556346
simple,mhn,0.15,0.6839999999999999,0.024979991993593607
simple,mhn,0.2,0.5263333333333333,0.027016455890602847
simple,mhn,0.25,0.36966666666666664,0.02750555499450167
medium,classic,0.05,0.9886666666666667,0.006863753427324671
medium,classic,0.1,0.9496666666666667,0.009363047936792105
medium,classic,0.15,0.8969999999999999,0.014866068747318509
medium,classic,0.2,0.8069999999999998,0.021931712199461304
medium,classic,0.25,0.6843333333333332,0.03252520390234149
medium,mhn,0.05,0.959,0.013503086067019407
medium,mhn,0.1,0.8663333333333334,0.017792008193443364
medium,mhn,0.15,0.7443333333333333,0.024767810651013224
medium,mhn,0.2,0.59,0.03356585566713096
medium,mhn,0.25,0.43100000000000005,0.03422312408624061
complex,classic,0.05,0.9993333333333332,0.0013333333333333198
complex,classic,0.1,0.992,0.0045215533220835085
complex,classic,0.15,0.961,0.006674994798166944
complex,classic,0.2,0.8936666666666666,0.016017351702311947
complex,classic,0.25,0.7673333333333332,0.01604161255402129
complex,mhn,0.05,0.9773333333333334,0.007272474743090481
complex,mhn,0.1,0.9183333333333333,0.01586400537905438
complex,mhn,0.15,0.82,0.026499475885802395
complex,mhn,0.2,0.6753333333333333,0.02261759393824983
complex,mhn,0.25,0.5126666666666668,0.019078784028338912
