kind,id,x,y,source_memory
memory,M0,0.334888219295486,-0.7076645630173872,
memory,M1,1.233390915080902,4.3434655112873655,
memory,M2,4.177805768373606,-2.375402387168529,
memory,M3,1.4182783946736908,-0.72408383867435,
memory,M4,-0.3926062168498223,-1.4935898357300754,
memory,M5,-0.3677595295331054,-0.51732097079778,
memory,M6,-2.7137618346703554,-1.7394814322365724,
memory,M7,1.8126644460520938,-1.4607313581536137,
memory,M8,1.5066828035480995,1.6468357708147963,
memory,M9,-3.062632391987697,1.02131571610387,
memory,M10,2.31531398429135,-0.09296802220375541,
memory,M11,-1.5070320923652891,-1.2631614619257767,
corrupted,C0,1.3205570466493648,3.1819112238667806,1.0
classic_recovered,CL0,1.233390915080902,4.3434655112873655,1.0
mhn_recovered,MHN0,1.233390915080902,4.3434655112873655,1.0
corrupted,C1,-1.1300825828172891,0.8710004730962734,9.0
classic_recovered,CL1,-4.029883857137984,-0.037939778836185795,9.0
mhn_recovered,MHN1,-3.062632391987697,1.02131571610387,9.0
corrupted,C2,-0.9005150706696757,0.0667762828240909,6.0
classic_recovered,CL2,-3.9011362695439735,-1.3851993740954696,6.0
mhn_recovered,MHN2,-2.7137618346703554,-1.7394814322365724,6.0
corrupted,C3,-0.9149183254028075,-2.245481508405694,6.0
classic_recovered,CL3,-3.709647629365785,-2.05826571323511,6.0
mhn_recovered,MHN3,-2.7137618346703554,-1.7394814322365724,6.0
corrupted,C4,-1.4540590429815108,1.7360053126476829,9.0
classic_recovered,CL4,-4.230314456851797,0.25998858487159837,9.0
mhn_recovered,MHN4,-3.062632391987697,1.02131571610387,9.0
corrupted,C5,4.3681000564841,-2.3502007438174832,2.0
classic_recovered,CL5,5.748380736529497,-1.2324142934536577,2.0
mhn_recovered,MHN5,4.177805768373604,-2.375402387168529,2.0
corrupted,C6,1.3337335523309435,-1.157808940772175,8.0
classic_recovered,CL6,-3.709647629365785,-2.05826571323511,8.0
mhn_recovered,MHN6,1.5066828035480995,1.6468357708147963,8.0
corrupted,C7,3.1503890275016615,-1.8192160924361462,2.0
classic_recovered,CL7,4.640416442631385,-2.9370841309366926,2.0
mhn_recovered,MHN7,4.177805768373604,-2.375402387168529,2.0
corrupted,C8,0.08686423738936161,-0.004520274624248544,4.0
classic_recovered,CL8,-3.9011362695439735,-1.3851993740954696,4.0
mhn_recovered,MHN8,-1.5070320923652891,-1.2631614619257763,4.0
corrupted,C9,0.741630113317786,4.348300784902807,1.0
classic_recovered,CL9,1.233390915080902,4.3434655112873655,1.0
mhn_recovered,MHN9,1.233390915080902,4.3434655112873655,1.0
